Transit (row) / Origin (Column) ASN-ASNAME,99999-AF
55330-AFGHANTELECOM GOVERNMENT COMMUNICATI,0.2149
38193-Transworld Associates (Pvt.) Ltd.,0.14695
28910-"Uzbektelekom" Joint Stock Company,0.11499
6762-TELECOM ITALIA SPARKLE S.p.A.,0.09942
138322-unknown,0.07121
3356-Level 3 Communications Inc.,0.06172
131284-Etisalat Afghan,0.05649
209-Qwest Communications Company LLC,0.04079
24753-Globecomm Europe B.V.,0.03387
8966-Emirates Telecommunications Corporat,0.03192
2914-NTT America Inc.,0.03153
27067-DoD Network Information Center,0.03048
174-Cogent Communications,0.02899
43727-KVANT-TELEKOM Closed Joint Stock Com,0.02625
6939-Hurricane Electric Inc.,0.02449
9002-RETN Limited,0.01966
3910-Qwest Communications Company LLC,0.01885
5511-Orange S.A.,0.01778
45178-Main Street House No. 13 Wazir Akbar,0.01571
48159-Telecommunication Infrastructure Com,0.01569
4862-Orange Business,0.01542
27065-DoD Network Information Center,0.01524
132471-MTNAFGHANISTAN,0.01486
4637-Telstra Global - Customer AS Number,0.01453
1299-Telia Company AB,0.01452
35168-TNS-Plus LLP,0.01283
134134-North Telecom,0.0099
22351-INTELSAT GLOBAL SERVICE CORPORATION,0.00972
8529-Oman Telecommunications Company (S.A,0.00963
721-DoD Network Information Center,0.00926
24785-Broadband Hosting B.V,0.00881
49666-Telecommunication Infrastructure Com,0.00843
205103-Telegraph 42 Management GmbH,0.00757
17557-Pakistan Telecommunication Company L,0.00753
20485-Closed Joint Stock Company TransTele,0.00718
6461-Zayo Bandwidth,0.00623
27064-DoD Network Information Center,0.00621
3491-PCCW Global Inc.,0.00584
3320-Deutsche Telekom AG,0.00559
31133-PJSC MegaFon,0.0053
200612-Gulf Bridge International Inc.,0.00506
135298-Ankabut Internet Service Provider,0.00372
3257-GTT Communications Inc.,0.00359
4657-Singapore Government Network AS,0.003
206283-STAR SATELLITE COMMUNICATIONS COMPAN,0.00282
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00238
60299-Mezhdugorodnyaya Mezhdunarodnaya Tel,0.00223
20562-Broadband Hosting B.V,0.00221
17411-Io Global Services Pvt. Limited,0.00191
703-MCI Communications Services Inc. d/b,0.00188
38710-Worldcall Telecom Limited,0.00188
206610-Pindo S.a.,0.00188
16637-MTN SA,0.00186
5666-Harris CapRock Communications Inc.,0.00184
286-KPN B.V.,0.00178
12956-Telefonica International Wholesale S,0.00173
3758-SingNet Business Dept,0.0017
20764-CJSC RASCOM,0.00169
133066-Ariana Network Services Co,0.00152
36149-Hawaiian Telcom Services Company Inc,0.0015
4826-Vocus Communications,0.00137
2516-KDDI CORPORATION,0.00134
3549-Level 3 Communications Inc.,0.00128
58453-Level 30 Tower 1,0.00113
41095-IPTP LTD,0.00106
51346-Opened Joint Stock Company "Tojiktel,0.00104
7473-Singapore Telecommunications Ltd,0.00097
60725-O3b Sales BV,0.00096
55865-Satcomms Australia,0.00096
38056-Globecomm Network Services Corp Tran,0.00096
137276-Asia Bridge Telecom,0.00096
46844-Sharktech,0.00095
9304-Hutchison Global Communications,0.00094
58470-PMCL /LDI IP TRANSIT,0.00094
20473-Choopa LLC,0.00094
135376-Connect Telecom ISP Afghanistan,0.00094
39356-Avanti Broadband Ltd,0.00093
38742-AWCC,0.00093
32748-Steadfast,0.00093
4913-Harris CapRock Communications Inc.,0.00092
33891-Core-Backbone GmbH,0.00086
19036-Telesat Network Services Inc,0.00086
6661-POST Luxembourg,0.00081
1916-Associa̤̣o Rede Nacional de En,0.00076
30362-Hawaii Pacific Teleport LP,0.00071
41798-JSC Transtelecom,0.00069
4230-CLARO S.A.,0.00068
3267-State Institute of Information Techn,0.00065
21320-GEANT Limited,0.00065
8447-A1 Telekom Austria AG,0.00064
15570-InterNAP Network Services U.K. Limit,0.00062
46562-Total Server Solutions L.L.C.,0.00059
59689-Keyade SAS,0.00058
8732-OJSC Comcor,0.00054
18101-BSES TeleCom Limited,0.00052
58057-TeleMontazh Ltd.,0.00049
9822-Vocus Communications,0.00047
42705-Talia Limited,0.00047
4922-Shentel Communications LLC,0.00043
47973-Digital Realty Netherlands B.V.,0.00043
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00039
31500-LLC GLOBALNET,0.00039
