Transit (row) / Origin (Column) ASN-ASNAME,99999-YE
15412-Reliance Globalcom Limited,0.48877
174-Cogent Communications,0.31896
3491-PCCW Global Inc.,0.0818
6939-Hurricane Electric Inc.,0.04764
8529-Oman Telecommunications Company (S.A,0.03585
5511-Orange S.A.,0.02049
2914-NTT America Inc.,0.01618
1299-Telia Company AB,0.01196
8966-Emirates Telecommunications Corporat,0.01144
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00872
3356-Level 3 Communications Inc.,0.00571
4637-Telstra Global - Customer AS Number,0.00335
206283-STAR SATELLITE COMMUNICATIONS COMPAN,0.00317
197206-BusinessCom CZ spol. s r.o.,0.0025
206610-Pindo S.a.,0.00175
3257-GTT Communications Inc.,0.00131
8767-M-net Telekommunikations GmbH,0.00125
15570-InterNAP Network Services U.K. Limit,0.00071
6461-Zayo Bandwidth,0.00069
39386-Saudi Telecom Company JSC,0.00061
12956-Telefonica International Wholesale S,0.00057
58057-TeleMontazh Ltd.,0.00056
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00045
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00038
2497-Internet Initiative Japan Inc.,0.00027
1221-Telstra Managed Network Services,0.00024
6830-Liberty Global Operations B.V.,0.0002
4230-CLARO S.A.,0.0002
24961-myLoc managed IT AG,0.0002
2516-KDDI CORPORATION,0.00014
21320-GEANT Limited,0.00013
9002-RETN Limited,0.00012
1916-Associa̤̣o Rede Nacional de En,0.00012
1836-green.ch AG,0.0001
99999-YE,0.0
13030-Init7 (Switzerland) Ltd.,7e-05
6661-POST Luxembourg,5e-05
8218-Zayo France SAS,4e-05
8732-OJSC Comcor,3e-05
8447-A1 Telekom Austria AG,3e-05
59689-Keyade SAS,3e-05
20764-CJSC RASCOM,3e-05
16265-LeaseWeb Network B.V.,3e-05
8758-Iway AG,1e-05
8468-ENTANET International Limited,1e-05
5713-Telkom SA Ltd.,1e-05
52320-GlobeNet Cabos Submarinos Colombia S,1e-05
43531-IX Reach Ltd,1e-05
33891-Core-Backbone GmbH,1e-05
3320-Deutsche Telekom AG,1e-05
29075-Lost Oasis SARL,1e-05
286-KPN B.V.,1e-05
2852-CESNET z.s.p.o.,1e-05
2603-NORDUnet,1e-05
20562-Broadband Hosting B.V,1e-05
198385-AlpineDC SA,1e-05
12874-Fastweb SpA,1e-05
