Transit (row) / Origin (Column) ASN-ASNAME,99999-ME
5391-Hrvatski Telekom d.d.,0.44678
34772-NEOTEL DOO export-import Skopje,0.18448
174-Cogent Communications,0.15323
1299-Telia Company AB,0.11846
8400-TELEKOM SRBIJA a.d.,0.08711
29170-Kujtesa Net Sh.p.k.,0.08383
3320-Deutsche Telekom AG,0.04345
15958-Telenor d.o.o. Beograd,0.0274
15397-Telenor d.o.o. Podgorica,0.02648
21320-GEANT Limited,0.02421
43940-Drustvo za telekomunikacije "MTEL" D,0.01935
3356-Level 3 Communications Inc.,0.01583
5511-Orange S.A.,0.01139
5603-Telekom Slovenije d.d.,0.00697
10282-GLOBAL ONE,0.00682
47881-Telenor d.o.o. Podgorica,0.00512
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00394
57470-Intercom + LLC,0.00341
50340-OOO "Network of data-centers "Select,0.00341
15440-UAB "Baltnetos komunikacijos",0.00341
206610-Pindo S.a.,0.00333
3257-GTT Communications Inc.,0.00323
20965-GEANT Limited,0.00296
2603-NORDUnet,0.00293
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00235
2914-NTT America Inc.,0.00196
6939-Hurricane Electric Inc.,0.00195
3216-PJSC "Vimpelcom",0.00171
25467-Akton d.o.o.,0.00166
3491-PCCW Global Inc.,0.00143
8585-Crnogorski Telekom a.d.Podgorica,0.00119
52320-GlobeNet Cabos Submarinos Colombia S,0.00112
16265-LeaseWeb Network B.V.,0.00102
9002-RETN Limited,0.00095
34540-mStart d.o.o.,0.00085
12578-SIA Lattelekom,0.0007
15570-InterNAP Network Services U.K. Limit,0.00055
3267-State Institute of Information Techn,0.00049
20485-Closed Joint Stock Company TransTele,0.00047
15412-Reliance Globalcom Limited,0.00046
58057-TeleMontazh Ltd.,0.00044
13046-ISKON INTERNET d.d. za informatiku i,0.00043
31172-QFast Telecom B.V.,0.00041
8455-Schuberg Philis B.V.,0.0004
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00035
198961-"Wimax Montenegro" d.o.o. Podgorica,0.00033
11537-Internet2,0.00033
25091-IP-Max SA,0.00031
8764-Telia Lietuva AB,0.00029
6461-Zayo Bandwidth,0.00026
6830-Liberty Global Operations B.V.,0.00023
20764-CJSC RASCOM,0.00023
17139-Corporate Colocation Inc.,0.00021
24785-Broadband Hosting B.V,0.00016
24961-myLoc managed IT AG,0.00015
11351-Time Warner Cable Internet LLC,0.00015
8447-A1 Telekom Austria AG,0.00014
1273-Vodafone Group PLC,0.00013
202984-Chernyshov Aleksandr Aleksandrovich,0.00012
12956-Telefonica International Wholesale S,0.00012
29075-Lost Oasis SARL,0.00011
28917-LLC "TRC FIORD",0.00011
22388-Indiana University,0.00011
8468-ENTANET International Limited,0.0001
4230-CLARO S.A.,0.0001
99999-ME,0.0
30781-Jaguar Network SAS,9e-05
7660-Asia Pacific Advanced Network - Japa,8e-05
6777-Amsterdam Internet Exchange B.V.,8e-05
7843-Time Warner Cable Internet LLC,7e-05
286-KPN B.V.,7e-05
2497-Internet Initiative Japan Inc.,7e-05
1836-green.ch AG,7e-05
8218-Zayo France SAS,6e-05
1916-Associa̤̣o Rede Nacional de En,6e-05
8732-OJSC Comcor,5e-05
20562-Broadband Hosting B.V,5e-05
19740-Sudjam LLC,5e-05
13030-Init7 (Switzerland) Ltd.,5e-05
1239-Sprint,5e-05
6661-POST Luxembourg,4e-05
49505-OOO "Network of data-centers "Select,4e-05
3303-Swisscom (Switzerland) Ltd,4e-05
2516-KDDI CORPORATION,4e-05
13004-Serbian Open Exchange DOO,2e-05
41095-IPTP LTD,1e-05
37468-Angola Cables,1e-05
33891-Core-Backbone GmbH,1e-05
3215-Orange S.A.,1e-05
2852-CESNET z.s.p.o.,1e-05
20080-Florida International University,1e-05
