Transit (row) / Origin (Column) ASN-ASNAME,99999-CM
15964-CAMEROON TELECOMMUNICATIONS NETWORK,0.44418
12956-Telefonica International Wholesale S,0.17462
6453-TATA COMMUNICATIONS (AMERICA) INC,0.17212
16637-MTN SA,0.11633
9498-BHARTI Airtel Ltd.,0.08949
37662-West Indian Ocean Cable Company,0.08187
5511-Orange S.A.,0.05586
3356-Level 3 Communications Inc.,0.05218
12491-Gilat Satcom,0.02986
30992-MTN Network Solutions (Cameroon),0.02513
174-Cogent Communications,0.01471
37282-Mainone Cable Company,0.00809
3257-GTT Communications Inc.,0.00659
3491-PCCW Global Inc.,0.00309
36994-Vodacom,0.00201
2914-NTT America Inc.,0.00134
12390-KCOM Group Public Limited Company,0.00086
1299-Telia Company AB,0.00049
206610-Pindo S.a.,0.00045
6939-Hurricane Electric Inc.,0.00041
46844-Sharktech,0.00029
132165-Connect Communications,0.00026
1273-Vodafone Group PLC,0.00023
29075-Lost Oasis SARL,0.00019
52320-GlobeNet Cabos Submarinos Colombia S,0.00018
15570-InterNAP Network Services U.K. Limit,0.00018
58057-TeleMontazh Ltd.,0.00015
6661-POST Luxembourg,0.00013
17557-Pakistan Telecommunication Company L,0.00013
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00012
99999-CM,0.0
33891-Core-Backbone GmbH,0.0
3320-Deutsche Telekom AG,0.0
3303-Swisscom (Switzerland) Ltd,0.0
286-KPN B.V.,0.0
2852-CESNET z.s.p.o.,0.0
8732-OJSC Comcor,9e-05
8447-A1 Telekom Austria AG,9e-05
8218-Zayo France SAS,9e-05
36905-Creolink Communications,9e-05
28917-LLC "TRC FIORD",9e-05
20764-CJSC RASCOM,9e-05
202984-Chernyshov Aleksandr Aleksandrovich,9e-05
6762-TELECOM ITALIA SPARKLE S.p.A.,8e-05
30781-Jaguar Network SAS,8e-05
24961-myLoc managed IT AG,5e-05
7473-Singapore Telecommunications Ltd,4e-05
6461-Zayo Bandwidth,4e-05
8468-ENTANET International Limited,3e-05
25091-IP-Max SA,3e-05
7922-Comcast Cable Communications LLC,2e-05
4230-CLARO S.A.,2e-05
1836-green.ch AG,2e-05
16265-LeaseWeb Network B.V.,2e-05
15412-Reliance Globalcom Limited,2e-05
13030-Init7 (Switzerland) Ltd.,2e-05
9002-RETN Limited,1e-05
701-MCI Communications Services Inc. d/b,1e-05
6777-Amsterdam Internet Exchange B.V.,1e-05
3267-State Institute of Information Techn,1e-05
3216-PJSC "Vimpelcom",1e-05
2516-KDDI CORPORATION,1e-05
2497-Internet Initiative Japan Inc.,1e-05
21320-GEANT Limited,1e-05
1916-Associa̤̣o Rede Nacional de En,1e-05
12859-BIT BV,1e-05
12389-PJSC Rostelecom,1e-05
