Transit (row) / Origin (Column) ASN-ASNAME,99999-SB
139609-unknown,0.78819
4637-Telstra Global - Customer AS Number,0.39449
38456-Pacific Teleports.,0.05397
45891-Solomon Telekom Co Ltd,0.03105
3356-Level 3 Communications Inc.,0.02346
132468-SATSOL LIMITED,0.01971
1299-Telia Company AB,0.01875
60725-O3b Sales BV,0.01798
6939-Hurricane Electric Inc.,0.01295
12180-Internap Network Services Corporatio,0.01276
6461-Zayo Bandwidth,0.01036
4826-Vocus Communications,0.01027
20473-Choopa LLC,0.01024
9312-xTom,0.0102
135409-Kacific Broadband Satellites Pte Ltd,0.00986
174-Cogent Communications,0.0097
3257-GTT Communications Inc.,0.00943
17559-Spectrums Core Network,0.00775
12182-Internap Network Services Corporatio,0.00642
58057-TeleMontazh Ltd.,0.00533
3549-Level 3 Communications Inc.,0.00496
36149-Hawaiian Telcom Services Company Inc,0.00495
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00488
2914-NTT America Inc.,0.00435
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00431
2764-iiNet Technologies (SA) Pty Ltd,0.00404
7545-TPG Telecom Limited,0.00315
24961-myLoc managed IT AG,0.00189
5511-Orange S.A.,0.00135
209-Qwest Communications Company LLC,0.00135
7922-Comcast Cable Communications LLC,0.00107
36086-Telx,0.00101
1836-green.ch AG,0.0009
13030-Init7 (Switzerland) Ltd.,0.00056
15412-Reliance Globalcom Limited,0.0005
9002-RETN Limited,0.00038
206610-Pindo S.a.,0.00026
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00025
62805-xTom.com Inc.,0.00021
1221-Telstra Managed Network Services,0.00015
8447-A1 Telekom Austria AG,0.00013
7473-Singapore Telecommunications Ltd,0.00013
57866-Fusix Networks B.V.,0.00013
35280-ACORUS NETWORKS SAS,0.00013
3320-Deutsche Telekom AG,0.00013
3267-State Institute of Information Techn,0.00013
30781-Jaguar Network SAS,0.00013
29075-Lost Oasis SARL,0.00013
2516-KDDI CORPORATION,0.00013
2497-Internet Initiative Japan Inc.,0.00013
21320-GEANT Limited,0.00013
20562-Broadband Hosting B.V,0.00013
12956-Telefonica International Wholesale S,0.00013
11164-Internet2,0.00013
99999-SB,0.0
3491-PCCW Global Inc.,9e-05
63956-Colocation Australia Pty Ltd,6e-05
20485-Closed Joint Stock Company TransTele,6e-05
6421-TATA COMMUNICATIONS (AMERICA) INC,3e-05
7474-Optus Vision,2e-05
