Transit (row) / Origin (Column) ASN-ASNAME,99999-MA
174-Cogent Communications,0.58757
6762-TELECOM ITALIA SPARKLE S.p.A.,0.13976
1273-Vodafone Group PLC,0.0677
6713-Itissalat Al-MAGHRIB,0.06564
3257-GTT Communications Inc.,0.05775
5511-Orange S.A.,0.03118
12956-Telefonica International Wholesale S,0.02346
6453-TATA COMMUNICATIONS (AMERICA) INC,0.01538
206610-Pindo S.a.,0.00288
1299-Telia Company AB,0.00182
36884-Wana Corporate,0.00128
36925-MEDITELECOM,0.00057
3356-Level 3 Communications Inc.,0.00039
6853-Equant Inc.,0.00014
3491-PCCW Global Inc.,0.00011
99999-MA,0.0
8758-Iway AG,0.0
8732-OJSC Comcor,0.0
8708-RCS & RDS SA,0.0
8468-ENTANET International Limited,0.0
8455-Schuberg Philis B.V.,0.0
8447-A1 Telekom Austria AG,0.0
8220-COLT Technology Services Group Limit,0.0
7922-Comcast Cable Communications LLC,0.0
7474-Optus Vision,0.0
7473-Singapore Telecommunications Ltd,0.0
703-MCI Communications Services Inc. d/b,0.0
7029-Windstream Communications LLC,0.0
7015-Comcast Cable Communications LLC,0.0
6830-Liberty Global Operations B.V.,0.0
6777-Amsterdam Internet Exchange B.V.,0.0
6661-POST Luxembourg,0.0
62000-Netrix SAS,0.0
6079-RCN,0.0
59689-Keyade SAS,0.0
577-Bell Canada,0.0
57740-Hermes Datacommunications Internatio,0.0
5713-Telkom SA Ltd.,0.0
5580-Hibernia Networks (Netherlands) BV,0.0
52320-GlobeNet Cabos Submarinos Colombia S,0.0
4922-Shentel Communications LLC,0.0
4809-China Telecom Next Generation Carrie,0.0
42708-Portlane AB,0.0
4230-CLARO S.A.,0.0
37468-Angola Cables,0.0
37271-Workonline Communications(Pty) Ltd,0.0
36086-Telx,0.0
3549-Level 3 Communications Inc.,0.0
35280-ACORUS NETWORKS SAS,0.0
33891-Core-Backbone GmbH,0.0
3320-Deutsche Telekom AG,0.0
3303-Swisscom (Switzerland) Ltd,0.0
3267-State Institute of Information Techn,0.0
3216-PJSC "Vimpelcom",0.0
31216-BSO Network Solutions SAS,0.0
29075-Lost Oasis SARL,0.0
28917-LLC "TRC FIORD",0.0
286-KPN B.V.,0.0
2852-CESNET z.s.p.o.,0.0
262589-INTERNEXA Brasil Operadora de Teleco,0.0
262195-Transamerican Telecomunication S.A.,0.0
2603-NORDUnet,0.0
25818-cmcnetworks,0.0
25091-IP-Max SA,0.0
2497-Internet Initiative Japan Inc.,0.0
24961-myLoc managed IT AG,0.0
22927-Telefonica de Argentina,0.0
22351-INTELSAT GLOBAL SERVICE CORPORATION,0.0
21320-GEANT Limited,0.0
209-Qwest Communications Company LLC,0.0
20562-Broadband Hosting B.V,0.0
20485-Closed Joint Stock Company TransTele,0.0
203145-S.C. DreamServer S.R.L.,0.0
202984-Chernyshov Aleksandr Aleksandrovich,0.0
198385-AlpineDC SA,0.0
1916-Associa̤̣o Rede Nacional de En,0.0
19036-Telesat Network Services Inc,0.0
1836-green.ch AG,0.0
16265-LeaseWeb Network B.V.,0.0
15412-Reliance Globalcom Limited,0.0
13030-Init7 (Switzerland) Ltd.,0.0
1239-Sprint,0.0
1221-Telstra Managed Network Services,0.0
11164-Internet2,0.0
39737-Net Vision Telecom SRL,4e-05
6939-Hurricane Electric Inc.,3e-05
6461-Zayo Bandwidth,3e-05
64050-BGPNET Global ASN,3e-05
2914-NTT America Inc.,3e-05
12552-IP-Only Networks AB,3e-05
8218-Zayo France SAS,2e-05
35916-MULTACOM CORPORATION,2e-05
15290-Allstream Corp.,2e-05
9002-RETN Limited,1e-05
61218-FM GROUP WORLD Artur Trawinski Sp.zo,1e-05
58057-TeleMontazh Ltd.,1e-05
4637-Telstra Global - Customer AS Number,1e-05
4134-No.31Jin-rong Street,1e-05
3223-Voxility S.R.L.,1e-05
30781-Jaguar Network SAS,1e-05
2516-KDDI CORPORATION,1e-05
23352-Server Central Network,1e-05
20764-CJSC RASCOM,1e-05
20207-Gigared S.A.,1e-05
15570-InterNAP Network Services U.K. Limit,1e-05
