Transit (row) / Origin (Column) ASN-ASNAME,99999-QA
8781-Ooredoo Q.S.C.,0.26901
6939-Hurricane Electric Inc.,0.19576
15412-Reliance Globalcom Limited,0.09347
7473-Singapore Telecommunications Ltd,0.06369
3356-Level 3 Communications Inc.,0.04911
1299-Telia Company AB,0.03572
6762-TELECOM ITALIA SPARKLE S.p.A.,0.03043
6461-Zayo Bandwidth,0.01546
174-Cogent Communications,0.01527
9002-RETN Limited,0.01223
200612-Gulf Bridge International Inc.,0.00958
2497-Internet Initiative Japan Inc.,0.00699
13030-Init7 (Switzerland) Ltd.,0.0066
30781-Jaguar Network SAS,0.00632
1273-Vodafone Group PLC,0.00608
2914-NTT America Inc.,0.00481
5511-Orange S.A.,0.00372
20562-Broadband Hosting B.V,0.0036
8447-A1 Telekom Austria AG,0.0034
5583-Orange S.A.,0.00277
20764-CJSC RASCOM,0.00227
206610-Pindo S.a.,0.00204
42298-Ooredoo Q.S.C.,0.00196
12552-IP-Only Networks AB,0.00189
6661-POST Luxembourg,0.00176
48728-Vodafone Qatar Q.S.C.,0.00151
3257-GTT Communications Inc.,0.0013
8966-Emirates Telecommunications Corporat,0.00118
8220-COLT Technology Services Group Limit,0.00114
51375-VIVA Bahrain BSC Closed,0.00065
8468-ENTANET International Limited,0.00059
11537-Internet2,0.00054
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00044
39386-Saudi Telecom Company JSC,0.00041
12200-Rackspace Hosting,0.00023
4755-Tata Communications,0.0002
62-CyrusOne LLC,0.00017
50673-Serverius Holding B.V.,0.00017
46844-Sharktech,0.00017
29384-Qatar Foundation for Education Scien,0.00017
3303-Swisscom (Switzerland) Ltd,0.00013
15570-InterNAP Network Services U.K. Limit,0.00011
99999-QA,0.0
8455-Schuberg Philis B.V.,0.0
7660-Asia Pacific Advanced Network - Japa,0.0
6777-Amsterdam Internet Exchange B.V.,0.0
65540-None,0.0
65535-None,0.0
6391-Urban Networks Inc.,0.0
6327-Shaw Communications Inc.,0.0
59605-MENA LEVANT W.L.L,0.0
57187-Emirates Integrated Telecommunicatio,0.0
3215-Orange S.A.,0.0
2852-CESNET z.s.p.o.,0.0
22388-Indiana University,0.0
15802-Emirates Integrated Telecommunicatio,0.0
11831-eSecureData,0.0
58057-TeleMontazh Ltd.,9e-05
18101-BSES TeleCom Limited,9e-05
4230-CLARO S.A.,8e-05
61218-FM GROUP WORLD Artur Trawinski Sp.zo,7e-05
12956-Telefonica International Wholesale S,7e-05
64512-None,6e-05
51531-DE-CIX Management GmbH,6e-05
2516-KDDI CORPORATION,6e-05
33891-Core-Backbone GmbH,5e-05
7922-Comcast Cable Communications LLC,4e-05
6830-Liberty Global Operations B.V.,4e-05
55410-C48 Okhla Industrial Estate New Delh,4e-05
52320-GlobeNet Cabos Submarinos Colombia S,4e-05
42708-Portlane AB,4e-05
3491-PCCW Global Inc.,4e-05
2603-NORDUnet,4e-05
12874-Fastweb SpA,4e-05
7545-TPG Telecom Limited,3e-05
4637-Telstra Global - Customer AS Number,3e-05
42-WoodyNet,3e-05
29075-Lost Oasis SARL,3e-05
286-KPN B.V.,3e-05
24961-myLoc managed IT AG,3e-05
20965-GEANT Limited,3e-05
20485-Closed Joint Stock Company TransTele,3e-05
8732-OJSC Comcor,2e-05
37468-Angola Cables,2e-05
36086-Telx,2e-05
260-Xconnect24 Inc.,2e-05
25091-IP-Max SA,2e-05
21320-GEANT Limited,2e-05
1916-Associa̤̣o Rede Nacional de En,2e-05
1836-green.ch AG,2e-05
8218-Zayo France SAS,1e-05
59689-Keyade SAS,1e-05
43531-IX Reach Ltd,1e-05
35280-ACORUS NETWORKS SAS,1e-05
3320-Deutsche Telekom AG,1e-05
3267-State Institute of Information Techn,1e-05
3216-PJSC "Vimpelcom",1e-05
28917-LLC "TRC FIORD",1e-05
202984-Chernyshov Aleksandr Aleksandrovich,1e-05
16265-LeaseWeb Network B.V.,1e-05
13101-ennit server GmbH,1e-05
