Transit (row) / Origin (Column) ASN-ASNAME,99999-KR
22548-NÃºcleo de Inf. e Coord. do Ponto ,0.0
22388-Indiana University,0.0
22356-Durand do Brasil Ltda,0.0
21385-Trusted Network GmbH,0.0
21320-GEANT Limited,0.0
208293-unknown,0.0
20764-CJSC RASCOM,0.0
206264-Amarutu Technology Ltd,0.0
20562-Broadband Hosting B.V,0.0
20485-Closed Joint Stock Company TransTele,0.0
20080-Florida International University,0.0
200780-APPLIWAVE SAS,0.0
198949-SECURITYDAM LTD,0.0
198605-AVAST Software s.r.o.,0.0
19551-Incapsula Inc,0.0
18881-TELEFÃNICA BRASIL S.A,0.0
1853-ACONET,0.0
1836-green.ch AG,0.0
18101-BSES TeleCom Limited,0.0
17984-PCCW-HKT Network Services Limited,0.0
17941-Equinix Jpapan Enterprise K.K.,0.0
17878-,0.0
17676-Softbank BB Corp.,0.0
1764-Next Layer Telekommunikationsdienstl,0.0
17457-YAHOO! SGA,0.0
17378-TIERPOINT PENNSYLVANIA TWO LLC,0.0
16735-ALGAR TELECOM S/A,0.0
16265-LeaseWeb Network B.V.,0.0
15440-UAB "Baltnetos komunikacijos",0.0
139076-unknown,0.0
138995-unknown,0.0
136897-Enjoyvc Cloud Group Limited.,0.0
136800-ICIDC NETWORK,0.0
136743-Internet Keeper Technology(Internati,0.0
136038-HDTIDC LIMITED,0.0
135391-AOFEI DATA INTERNATIONAL COMPANY LIM,0.0
135067-LOGICOM TECHNOLOGY CO.LIMITED,0.0
134190-IPDC SOLUTIONS SDN BHD,0.0
133731-Xinyuan Interconnect (HK) Limited,0.0
13335-Cloudflare Inc,0.0
13237-euNetworks Managed Services GmbH,0.0
13193-Nerim SAS,0.0
13101-ennit server GmbH,0.0
13094-LLC Milecom,0.0
12880-Information Technology Company (ITC),0.0
12874-Fastweb SpA,0.0
12859-BIT BV,0.0
12578-SIA Lattelekom,0.0
12552-IP-Only Networks AB,0.0
12389-PJSC Rostelecom,0.0
1221-Telstra Managed Network Services,0.0
12182-Internap Network Services Corporatio,0.0
10429-Telefonica Data S.A.,0.0
10229-YAHOO! SGA,0.0
10099-China Unicom Global,0.0
10059-LG DACOM KIDC,0.0
10021-KVH Co.Ltd,0.0
9842-Lotte Data Communication Company,9e-05
9270-National Infomation Society Agency,9e-05
3257-GTT Communications Inc.,9e-05
10049-SK Co.,6e-05
24490-CERNET2 IX at Peking University,5e-05
20965-GEANT Limited,5e-05
64050-BGPNET Global ASN,4e-05
45250-Vocom International Telecommunicatio,4e-05
22822-Limelight Networks Inc.,4e-05
701-MCI Communications Services Inc. d/b,3e-05
45974-NHN Entertainment,3e-05
3267-State Institute of Information Techn,3e-05
1916-AssociaÃ§Ã£o Rede Nacional de En,3e-05
1273-Vodafone Group PLC,3e-05
11537-Internet2,3e-05
9505-Data Communication Business Group,2e-05
7473-Singapore Telecommunications Ltd,2e-05
7018-AT&T Services Inc.,2e-05
6461-Zayo Bandwidth,2e-05
45400-Korea Telecom,2e-05
18168-CMB TAEGU BROADCAST SUSEONG,2e-05
12956-Telefonica International Wholesale S,2e-05
10310-Yahoo!,2e-05
9950-DACOM-PUBNETPLUS,1e-05
9304-Hutchison Global Communications,1e-05
8496-Optibit LLC,1e-05
7474-Optus Vision,1e-05
6619-SamsungSDS Inc.,1e-05
6421-TATA COMMUNICATIONS (AMERICA) INC,1e-05
58453-Level 30 Tower 1,1e-05
4809-China Telecom Next Generation Carrie,1e-05
4657-Singapore Government Network AS,1e-05
42624-Simple Carrier LLC,1e-05
38701-Piranha Systems,1e-05
38082-True International Gateway Co. Ltd.,1e-05
3758-SingNet Business Dept,1e-05
34636-Laser Company Ltd,1e-05
33652-Comcast Cable Communications LLC,1e-05
3223-Voxility S.R.L.,1e-05
286-KPN B.V.,1e-05
23575-SK Broadband Co Ltd,1e-05
21859-Zenlayer Inc,1e-05
18033-CMB TAEGU BROADCASTING,1e-05
15169-Google LLC,1e-05
1257-TELE2,1e-05
10160-KDDI KOREA,1e-05
