Transit (row) / Origin (Column) ASN-ASNAME,99999-BB
23520-Columbus Networks USA Inc.,0.74941
1299-Telia Company AB,0.14979
6830-Liberty Global Operations B.V.,0.1328
33576-ASN-Digicel,0.06879
3491-PCCW Global Inc.,0.06074
6461-Zayo Bandwidth,0.03094
14813-Columbus Telecommunications (Barbado,0.02796
3257-GTT Communications Inc.,0.02368
5511-Orange S.A.,0.02253
12180-Internap Network Services Corporatio,0.02213
2647-Societe Internationale de Telecommun,0.01829
3356-Level 3 Communications Inc.,0.01727
1273-Vodafone Group PLC,0.00847
174-Cogent Communications,0.00735
27665-Columbus Communications Trinidad Lim,0.00686
2914-NTT America Inc.,0.00504
35900-Digicel Barbados Ltd,0.00497
206610-Pindo S.a.,0.00371
12956-Telefonica International Wholesale S,0.00139
2828-MCI Communications Services Inc. d/b,0.00133
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00131
7922-Comcast Cable Communications LLC,0.00123
62-CyrusOne LLC,0.00114
265766-Block DDoS S.A.,0.00114
20080-Florida International University,0.00113
701-MCI Communications Services Inc. d/b,0.00085
6939-Hurricane Electric Inc.,0.00081
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00074
12182-Internap Network Services Corporatio,0.0007
2497-Internet Initiative Japan Inc.,0.00067
58057-TeleMontazh Ltd.,0.00059
3223-Voxility S.R.L.,0.00057
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00047
51531-DE-CIX Management GmbH,0.00038
42-WoodyNet,0.00023
24961-myLoc managed IT AG,0.00021
29791-Voxel Dot Net Inc.,0.00018
33891-Core-Backbone GmbH,0.00016
36086-Telx,0.00011
1836-green.ch AG,0.0001
99999-BB,0.0
7660-Asia Pacific Advanced Network - Japa,0.0
22388-Indiana University,0.0
13030-Init7 (Switzerland) Ltd.,6e-05
9002-RETN Limited,5e-05
52320-GlobeNet Cabos Submarinos Colombia S,4e-05
13101-ennit server GmbH,4e-05
6661-POST Luxembourg,3e-05
4230-CLARO S.A.,3e-05
37468-Angola Cables,3e-05
35788-Forcepoint Cloud Ltd,3e-05
25091-IP-Max SA,3e-05
20764-CJSC RASCOM,3e-05
7473-Singapore Telecommunications Ltd,1e-05
4637-Telstra Global - Customer AS Number,1e-05
38930-LeaseWeb Network B.V.,1e-05
3320-Deutsche Telekom AG,1e-05
3303-Swisscom (Switzerland) Ltd,1e-05
30781-Jaguar Network SAS,1e-05
29075-Lost Oasis SARL,1e-05
2516-KDDI CORPORATION,1e-05
200780-APPLIWAVE SAS,1e-05
1916-Associa̤̣o Rede Nacional de En,1e-05
1764-Next Layer Telekommunikationsdienstl,1e-05
16265-LeaseWeb Network B.V.,1e-05
13193-Nerim SAS,1e-05
11537-Internet2,1e-05
