Transit (row) / Origin (Column) ASN-ASNAME,99999-BD
137385-,0.00018
134186-Paradise Technologies Limited,0.00018
55550-1/2 Monipuripara,0.00017
46562-Total Server Solutions L.L.C.,0.00017
134168-Brunei International Gateway Sdn Bhd,0.00017
138536-unknown,0.00014
2516-KDDI CORPORATION,0.00012
58453-Level 30 Tower 1,0.00011
56264-Tomato Web (Pvt) Limited,0.00011
131278-unknown,0.0001
99999-BD,0.0
9505-Data Communication Business Group,0.0
9293-NTT Com Asia Limited,0.0
8359-MTS PJSC,0.0
8218-Zayo France SAS,0.0
7545-TPG Telecom Limited,0.0
701-MCI Communications Services Inc. d/b,0.0
65016-None,0.0
65009-None,0.0
64645-unknown,0.0
577-Bell Canada,0.0
57740-Hermes Datacommunications Internatio,0.0
5713-Telkom SA Ltd.,0.0
41327-TechInfoTel Ltd.,0.0
2852-CESNET z.s.p.o.,0.0
2828-MCI Communications Services Inc. d/b,0.0
2603-NORDUnet,0.0
24490-CERNET2 IX at Peking University,0.0
23947-PT.Mora Telematika Indonesia,0.0
20965-GEANT Limited,0.0
20485-Closed Joint Stock Company TransTele,0.0
198385-AlpineDC SA,0.0
13193-Nerim SAS,0.0
13101-ennit server GmbH,0.0
9885-NKN INTERNET GATEWAY NETWORK,9e-05
9304-Hutchison Global Communications,9e-05
9288-Akhtaruzzaman t/a DB Technologies,9e-05
9286-KINX,9e-05
9145-EWE TEL GmbH,9e-05
8100-QuadraNet Inc,9e-05
64043-S.M. ZAKIR HOSSAIN t/a EUROtelbd Onl,9e-05
60068-Datacamp Limited,9e-05
59239-iTel Limited,9e-05
58768-Daffodil Online Ltd.,9e-05
58629-Global Fair Communications Ltd.,9e-05
4913-Harris CapRock Communications Inc.,9e-05
45629-JasTel Network International Gateway,9e-05
45326-Broad Band Telecom Services Ltd,9e-05
43350-NForce Entertainment B.V.,9e-05
41998-NetCom BW GmbH,9e-05
38744-AlwaysOn Network Bangladesh Ltd,9e-05
38313-Fusion Net. Internet Service Provide,9e-05
32748-Steadfast,9e-05
29802-HIVELOCITY VENTURES CORP,9e-05
23352-Server Central Network,9e-05
139870-unknown,9e-05
139600-unknown,9e-05
138649-unknown,9e-05
137403-None,9e-05
137048-X-LINK LIMITED,9e-05
137029-Chittagong multi channel limited,9e-05
136276-EIRTEL Services,9e-05
135882-Spark Online,9e-05
134529-1Asia Alliance Gateway Limited,9e-05
131464-Digi Jadoo Broadband Ltd,9e-05
9002-RETN Limited,8e-05
7018-AT&T Services Inc.,8e-05
4230-CLARO S.A.,8e-05
20773-Host Europe GmbH,8e-05
139076-unknown,8e-05
4-University of Southern California,7e-05
24556-Bijoy Online Ltd. Multihome Internet,7e-05
135071-VIDEO ELEPHANT,7e-05
134153-MD Manir Hossen trading as Xplore Cy,7e-05
703-MCI Communications Services Inc. d/b,6e-05
38562-Innovative Online Limited,6e-05
15570-InterNAP Network Services U.K. Limit,6e-05
12956-Telefonica International Wholesale S,6e-05
12586-GHOSTnet GmbH,6e-05
9066-EWE TEL GmbH,5e-05
8447-A1 Telekom Austria AG,5e-05
58057-TeleMontazh Ltd.,5e-05
38071-Aftab IT Limited.,5e-05
38001-NewMedia Express Pte Ltd,5e-05
1916-Associa̤̣o Rede Nacional de En,5e-05
139629-unknown,5e-05
12989-StackPath LLC,5e-05
9957-KINX,4e-05
6661-POST Luxembourg,4e-05
61218-FM GROUP WORLD Artur Trawinski Sp.zo,4e-05
43531-IX Reach Ltd,4e-05
21320-GEANT Limited,4e-05
209-Qwest Communications Company LLC,4e-05
20764-CJSC RASCOM,4e-05
19036-Telesat Network Services Inc,4e-05
11537-Internet2,4e-05
7029-Windstream Communications LLC,3e-05
6830-Liberty Global Operations B.V.,3e-05
52320-GlobeNet Cabos Submarinos Colombia S,3e-05
51531-DE-CIX Management GmbH,3e-05
4766-Korea Telecom,3e-05
3320-Deutsche Telekom AG,3e-05
3267-State Institute of Information Techn,3e-05
134226-NATION COMMUNICATION,3e-05
8468-ENTANET International Limited,2e-05
7922-Comcast Cable Communications LLC,2e-05
7474-Optus Vision,2e-05
59689-Keyade SAS,2e-05
55410-C48 Okhla Industrial Estate New Delh,2e-05
4922-Shentel Communications LLC,2e-05
4713-NTT Communications Corporation,2e-05
42-WoodyNet,2e-05
4134-No.31Jin-rong Street,2e-05
37468-Angola Cables,2e-05
35280-ACORUS NETWORKS SAS,2e-05
33438-Highwinds Network Group Inc.,2e-05
3303-Swisscom (Switzerland) Ltd,2e-05
30781-Jaguar Network SAS,2e-05
29075-Lost Oasis SARL,2e-05
28917-LLC "TRC FIORD",2e-05
24961-myLoc managed IT AG,2e-05
202984-Chernyshov Aleksandr Aleksandrovich,2e-05
13030-Init7 (Switzerland) Ltd.,2e-05
8758-Iway AG,1e-05
8732-OJSC Comcor,1e-05
8220-COLT Technology Services Group Limit,1e-05
6777-Amsterdam Internet Exchange B.V.,1e-05
65012-None,1e-05
3215-Orange S.A.,1e-05
31133-PJSC MegaFon,1e-05
31025-GHOSTnet GmbH,1e-05
286-KPN B.V.,1e-05
20562-Broadband Hosting B.V,1e-05
1836-green.ch AG,1e-05
17676-Softbank BB Corp.,1e-05
1764-Next Layer Telekommunikationsdienstl,1e-05
15412-Reliance Globalcom Limited,1e-05
1273-Vodafone Group PLC,1e-05
