Transit (row) / Origin (Column) ASN-ASNAME,99999-KN
23520-Columbus Networks USA Inc.,0.35076
63351-Southern Caribbean Fiber,0.13317
5511-Orange S.A.,0.10499
2647-Societe Internationale de Telecommun,0.08527
42708-Portlane AB,0.07862
12552-IP-Only Networks AB,0.07858
1299-Telia Company AB,0.0747
174-Cogent Communications,0.04552
6830-Liberty Global Operations B.V.,0.04393
3356-Level 3 Communications Inc.,0.04345
3491-PCCW Global Inc.,0.03479
3257-GTT Communications Inc.,0.03303
6461-Zayo Bandwidth,0.0317
1273-Vodafone Group PLC,0.01577
6453-TATA COMMUNICATIONS (AMERICA) INC,0.01206
6939-Hurricane Electric Inc.,0.00858
12180-Internap Network Services Corporatio,0.00643
12129-123.Net Inc.,0.00534
3549-Level 3 Communications Inc.,0.00533
8473-Bahnhof Internet AB,0.00517
2914-NTT America Inc.,0.00398
57717-FiberXpress BV,0.00354
206610-Pindo S.a.,0.00336
12182-Internap Network Services Corporatio,0.00325
58057-TeleMontazh Ltd.,0.00273
13194-UAB "Bite Lietuva",0.00256
9002-RETN Limited,0.00243
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00219
2516-KDDI CORPORATION,0.00114
12956-Telefonica International Wholesale S,0.00114
24961-myLoc managed IT AG,0.00096
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00066
8447-A1 Telekom Austria AG,0.00057
7922-Comcast Cable Communications LLC,0.00054
52320-GlobeNet Cabos Submarinos Colombia S,0.00051
20764-CJSC RASCOM,0.00051
33891-Core-Backbone GmbH,0.0005
1836-green.ch AG,0.00045
21320-GEANT Limited,0.00044
1916-Associa̤̣o Rede Nacional de En,0.00044
8732-OJSC Comcor,0.00038
6661-POST Luxembourg,0.00038
59689-Keyade SAS,0.00032
4230-CLARO S.A.,0.00032
56611-REBA Communications BV,0.00031
13030-Init7 (Switzerland) Ltd.,0.00028
8468-ENTANET International Limited,0.00019
6079-RCN,0.00019
3303-Swisscom (Switzerland) Ltd,0.00019
30781-Jaguar Network SAS,0.00019
29075-Lost Oasis SARL,0.00019
2603-NORDUnet,0.00019
25091-IP-Max SA,0.00019
2497-Internet Initiative Japan Inc.,0.00019
15412-Reliance Globalcom Limited,0.00019
35788-Forcepoint Cloud Ltd,0.00013
3267-State Institute of Information Techn,0.00013
13536-Tech Valley Communications,0.00013
99999-KN,0.0
37468-Angola Cables,6e-05
3320-Deutsche Telekom AG,6e-05
286-KPN B.V.,6e-05
12874-Fastweb SpA,6e-05
28917-LLC "TRC FIORD",3e-05
2828-MCI Communications Services Inc. d/b,2e-05
