Transit (row) / Origin (Column) ASN-ASNAME,99999-JM
23520-Columbus Networks USA Inc.,0.51843
6461-Zayo Bandwidth,0.16798
6830-Liberty Global Operations B.V.,0.11858
1299-Telia Company AB,0.1163
3257-GTT Communications Inc.,0.09372
30689-FLOW,0.07346
3491-PCCW Global Inc.,0.06568
10292-ASN-CWJAMAICA,0.04099
2647-Societe Internationale de Telecommun,0.0199
6939-Hurricane Electric Inc.,0.0182
5511-Orange S.A.,0.01301
33576-ASN-Digicel,0.01185
10278-Cable & Wireless (Barbados) Limited,0.00849
3356-Level 3 Communications Inc.,0.00404
206610-Pindo S.a.,0.0039
174-Cogent Communications,0.00232
2914-NTT America Inc.,0.00207
46844-Sharktech,0.00125
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00121
2828-MCI Communications Services Inc. d/b,0.00114
12180-Internap Network Services Corporatio,0.00075
701-MCI Communications Services Inc. d/b,0.00065
7018-AT&T Services Inc.,0.00062
62-CyrusOne LLC,0.00062
8473-Bahnhof Internet AB,0.0006
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00041
3303-Swisscom (Switzerland) Ltd,0.00041
1273-Vodafone Group PLC,0.00041
12182-Internap Network Services Corporatio,0.00038
58057-TeleMontazh Ltd.,0.00032
577-Bell Canada,0.00031
9002-RETN Limited,0.0003
12956-Telefonica International Wholesale S,0.00028
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00025
16735-ALGAR TELECOM S/A,0.00024
51531-DE-CIX Management GmbH,0.00021
2516-KDDI CORPORATION,0.00018
852-TELUS Communications Inc.,0.00017
7922-Comcast Cable Communications LLC,0.00013
2497-Internet Initiative Japan Inc.,0.00013
42-WoodyNet,0.00012
21320-GEANT Limited,0.00012
4230-CLARO S.A.,0.00011
24961-myLoc managed IT AG,0.00011
99999-JM,0.0
33891-Core-Backbone GmbH,8e-05
29075-Lost Oasis SARL,8e-05
15412-Reliance Globalcom Limited,8e-05
6661-POST Luxembourg,7e-05
52320-GlobeNet Cabos Submarinos Colombia S,7e-05
286-KPN B.V.,7e-05
1916-Associa̤̣o Rede Nacional de En,7e-05
8447-A1 Telekom Austria AG,6e-05
8468-ENTANET International Limited,5e-05
1836-green.ch AG,5e-05
7473-Singapore Telecommunications Ltd,4e-05
8732-OJSC Comcor,3e-05
59689-Keyade SAS,3e-05
57866-Fusix Networks B.V.,3e-05
3267-State Institute of Information Techn,3e-05
30781-Jaguar Network SAS,3e-05
20764-CJSC RASCOM,3e-05
20562-Broadband Hosting B.V,3e-05
13030-Init7 (Switzerland) Ltd.,3e-05
11164-Internet2,3e-05
35280-ACORUS NETWORKS SAS,2e-05
2603-NORDUnet,2e-05
20485-Closed Joint Stock Company TransTele,2e-05
13101-ennit server GmbH,2e-05
12874-Fastweb SpA,2e-05
12552-IP-Only Networks AB,2e-05
8218-Zayo France SAS,1e-05
7545-TPG Telecom Limited,1e-05
35788-Forcepoint Cloud Ltd,1e-05
3320-Deutsche Telekom AG,1e-05
