Transit (row) / Origin (Column) ASN-ASNAME,99999-AM
8932-Ucom LLC,0.33867
3216-PJSC "Vimpelcom",0.17846
6682-GNC-Alfa CJSC,0.12517
6762-TELECOM ITALIA SPARKLE S.p.A.,0.08342
12297-"ArmenTel" CJSC,0.0751
43733-MTS Armenia CJSC,0.07474
20771-Caucasus Online Ltd.,0.07122
174-Cogent Communications,0.06055
44395-Ucom LLC,0.03799
1299-Telia Company AB,0.03528
3356-Level 3 Communications Inc.,0.02674
49800-GNC-Alfa CJSC,0.02625
41965-MTS Armenia CJSC,0.02588
201986-Arpinet LLC,0.02367
196709-GNC-Alfa CJSC,0.01531
2914-NTT America Inc.,0.00914
1273-Vodafone Group PLC,0.00697
5511-Orange S.A.,0.00669
33852-MTS Armenia CJSC,0.00343
50245-Serverel Inc.,0.00329
41313-"NOVATEL" EOOD,0.00277
47872-Sofia Connect EAD,0.00214
12389-PJSC Rostelecom,0.00195
42109-MTS Armenia CJSC,0.00165
20965-GEANT Limited,0.00164
8359-MTS PJSC,0.00153
16190-WEB Ltd,0.00134
20485-Closed Joint Stock Company TransTele,0.00124
206610-Pindo S.a.,0.00117
208339-unknown,0.00099
48011-unknown,0.00082
47623-Institute for Informatics and Automa,0.00071
3257-GTT Communications Inc.,0.00071
51225-Armenian internet traffic exchange ',0.00041
34224-Neterra Ltd.,0.00041
6939-Hurricane Electric Inc.,0.00039
42337-Respina Networks & Beyond PJSC,0.00032
3223-Voxility S.R.L.,0.00027
51090-"Internet Society" Public Organisati,0.00026
24785-Broadband Hosting B.V,0.00025
15570-InterNAP Network Services U.K. Limit,0.00022
11537-Internet2,0.00022
9002-RETN Limited,0.0002
43754-Asiatech Data Transfer Inc PLC,0.0002
58057-TeleMontazh Ltd.,0.00017
49666-Telecommunication Infrastructure Com,0.00016
31172-QFast Telecom B.V.,0.00016
12880-Information Technology Company (ITC),0.00016
8455-Schuberg Philis B.V.,0.00014
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00014
20764-CJSC RASCOM,0.00014
31133-PJSC MegaFon,0.00013
51531-DE-CIX Management GmbH,0.00012
41689-Asiatech Data Transfer Inc PLC,0.0001
99999-AM,0.0
5713-Telkom SA Ltd.,0.0
3549-Level 3 Communications Inc.,0.0
35280-ACORUS NETWORKS SAS,0.0
30781-Jaguar Network SAS,0.0
2852-CESNET z.s.p.o.,0.0
2603-NORDUnet,0.0
12874-Fastweb SpA,0.0
6453-TATA COMMUNICATIONS (AMERICA) INC,9e-05
286-KPN B.V.,9e-05
59900-Balkan Internet Exchange Ltd,8e-05
52320-GlobeNet Cabos Submarinos Colombia S,7e-05
42-WoodyNet,7e-05
4230-CLARO S.A.,7e-05
25091-IP-Max SA,7e-05
2486-AFNIC (Association Francaise pour le,7e-05
22388-Indiana University,7e-05
24961-myLoc managed IT AG,6e-05
20562-Broadband Hosting B.V,6e-05
15412-Reliance Globalcom Limited,6e-05
7660-Asia Pacific Advanced Network - Japa,5e-05
6461-Zayo Bandwidth,5e-05
33891-Core-Backbone GmbH,5e-05
8447-A1 Telekom Austria AG,4e-05
3303-Swisscom (Switzerland) Ltd,4e-05
29075-Lost Oasis SARL,4e-05
2497-Internet Initiative Japan Inc.,4e-05
12956-Telefonica International Wholesale S,4e-05
3491-PCCW Global Inc.,3e-05
2516-KDDI CORPORATION,3e-05
21320-GEANT Limited,3e-05
1836-green.ch AG,3e-05
8732-OJSC Comcor,2e-05
7922-Comcast Cable Communications LLC,2e-05
7545-TPG Telecom Limited,2e-05
7473-Singapore Telecommunications Ltd,2e-05
6777-Amsterdam Internet Exchange B.V.,2e-05
49832-FotoLab Ltd,2e-05
41327-TechInfoTel Ltd.,2e-05
41095-IPTP LTD,2e-05
3320-Deutsche Telekom AG,2e-05
3267-State Institute of Information Techn,2e-05
28917-LLC "TRC FIORD",2e-05
202984-Chernyshov Aleksandr Aleksandrovich,2e-05
1916-Associa̤̣o Rede Nacional de En,2e-05
13030-Init7 (Switzerland) Ltd.,2e-05
8468-ENTANET International Limited,1e-05
8218-Zayo France SAS,1e-05
6830-Liberty Global Operations B.V.,1e-05
6661-POST Luxembourg,1e-05
47973-Digital Realty Netherlands B.V.,1e-05
37468-Angola Cables,1e-05
200612-Gulf Bridge International Inc.,1e-05
16265-LeaseWeb Network B.V.,1e-05
13101-ennit server GmbH,1e-05
