Transit (row) / Origin (Column) ASN-ASNAME,99999-MT
3356-Level 3 Communications Inc.,0.29571
1299-Telia Company AB,0.18583
6762-TELECOM ITALIA SPARKLE S.p.A.,0.18131
174-Cogent Communications,0.07556
3257-GTT Communications Inc.,0.06495
1273-Vodafone Group PLC,0.06209
15735-GO p.l.c.,0.03983
21320-GEANT Limited,0.01113
12709-Melita plc.,0.01056
33874-Vodafone Malta Limited,0.01019
6939-Hurricane Electric Inc.,0.00821
206610-Pindo S.a.,0.0036
2914-NTT America Inc.,0.00285
16265-LeaseWeb Network B.V.,0.00221
12189-PhoenixNAP LLC,0.00179
41327-TechInfoTel Ltd.,0.00167
2603-NORDUnet,0.00149
20521-Bellnet Limited,0.00147
34558-Ozone Limited,0.00144
20965-GEANT Limited,0.00139
19551-Incapsula Inc,0.00105
14537-Continent 8 LLC,0.00105
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00099
12200-Rackspace Hosting,0.00072
21013-eww ag,0.00057
29550-Simply Transit Ltd,0.00054
16150-Availo Networks AB,0.00054
5532-GO p.l.c.,0.00051
6461-Zayo Bandwidth,0.00046
45474-Suite 2101~02 21/F Tower 2 Nina Towe,0.00035
12552-IP-Only Networks AB,0.00027
10135-Taiwan IPv6 Development Program.,0.00025
17819-Equinix Asia Pacific,0.00023
3327-CITIC Telecom CPC Netherlands B.V.,0.00021
20764-CJSC RASCOM,0.00019
13194-UAB "Bite Lietuva",0.00019
8953-Orange Romania S.A.,0.00018
62874-Web2Objects LLC,0.00018
49544-i3D.net B.V,0.00018
35280-ACORUS NETWORKS SAS,0.00018
12046-Malta Internet Foundation,0.00018
8681-JT (Jersey) Limited,0.00017
6661-POST Luxembourg,0.00017
35706-Net at Once Sweden AB,0.00017
200127-Smart IP (SIP) Limited,0.00017
13768-ASE,0.00017
11537-Internet2,0.00015
9002-RETN Limited,0.00013
3491-PCCW Global Inc.,0.00013
59689-Keyade SAS,0.00012
3249-Telia Eesti AS,0.00012
15570-InterNAP Network Services U.K. Limit,0.00012
8218-Zayo France SAS,0.00011
35369-lagis Internet Service Provider GmbH,0.00011
25091-IP-Max SA,0.00011
6079-RCN,0.0001
4637-Telstra Global - Customer AS Number,0.0001
37468-Angola Cables,0.0001
99999-MT,0.0
8359-MTS PJSC,0.0
7029-Windstream Communications LLC,0.0
6777-Amsterdam Internet Exchange B.V.,0.0
577-Bell Canada,0.0
41095-IPTP LTD,0.0
38930-LeaseWeb Network B.V.,0.0
3216-PJSC "Vimpelcom",0.0
286-KPN B.V.,0.0
2852-CESNET z.s.p.o.,0.0
2828-MCI Communications Services Inc. d/b,0.0
2764-iiNet Technologies (SA) Pty Ltd,0.0
20751-AZISTA GmbH,0.0
20485-Closed Joint Stock Company TransTele,0.0
200780-APPLIWAVE SAS,0.0
1853-ACONET,0.0
13193-Nerim SAS,0.0
701-MCI Communications Services Inc. d/b,9e-05
58057-TeleMontazh Ltd.,9e-05
4826-Vocus Communications,9e-05
46786-IP Transit Inc.,9e-05
31287-IPACCT Ltd.,9e-05
31172-QFast Telecom B.V.,9e-05
13030-Init7 (Switzerland) Ltd.,9e-05
8455-Schuberg Philis B.V.,8e-05
8220-COLT Technology Services Group Limit,8e-05
5511-Orange S.A.,8e-05
52320-GlobeNet Cabos Submarinos Colombia S,8e-05
33891-Core-Backbone GmbH,8e-05
61218-FM GROUP WORLD Artur Trawinski Sp.zo,7e-05
3303-Swisscom (Switzerland) Ltd,7e-05
15412-Reliance Globalcom Limited,7e-05
8732-OJSC Comcor,6e-05
8447-A1 Telekom Austria AG,6e-05
6830-Liberty Global Operations B.V.,5e-05
29075-Lost Oasis SARL,5e-05
22388-Indiana University,5e-05
12956-Telefonica International Wholesale S,5e-05
7660-Asia Pacific Advanced Network - Japa,4e-05
59900-Balkan Internet Exchange Ltd,4e-05
4230-CLARO S.A.,4e-05
3292-TDC A/S,4e-05
29119-ServiHosting Networks S.L.,4e-05
2516-KDDI CORPORATION,4e-05
17408-AboveNet Communications Taiwan,4e-05
8468-ENTANET International Limited,3e-05
24961-myLoc managed IT AG,3e-05
24785-Broadband Hosting B.V,3e-05
1764-Next Layer Telekommunikationsdienstl,3e-05
9044-BSE Software GmbH,2e-05
43531-IX Reach Ltd,2e-05
42708-Portlane AB,2e-05
36086-Telx,2e-05
3549-Level 3 Communications Inc.,2e-05
3320-Deutsche Telekom AG,2e-05
28917-LLC "TRC FIORD",2e-05
2497-Internet Initiative Japan Inc.,2e-05
202984-Chernyshov Aleksandr Aleksandrovich,2e-05
1916-Associa̤̣o Rede Nacional de En,2e-05
1836-green.ch AG,2e-05
12874-Fastweb SpA,2e-05
1257-TELE2,2e-05
1221-Telstra Managed Network Services,2e-05
7922-Comcast Cable Communications LLC,1e-05
7474-Optus Vision,1e-05
7473-Singapore Telecommunications Ltd,1e-05
7018-AT&T Services Inc.,1e-05
3326-PRIVATE JOINT STOCK COMPANY "DATAGRO,1e-05
3267-State Institute of Information Techn,1e-05
30781-Jaguar Network SAS,1e-05
20562-Broadband Hosting B.V,1e-05
136620-VMHaus Limited,1e-05
1103-SURFnet bv,1e-05
