Transit (row) / Origin (Column) ASN-ASNAME,99999-TH
63528-Bangkok Neutral Internet Exchange,7e-05
4657-Singapore Government Network AS,7e-05
17425-CS LOXINFO PUBLIC COMPANY LIMITED,7e-05
11537-Internet2,7e-05
9680-HiNet IPv6 Service Network.,6e-05
9498-BHARTI Airtel Ltd.,6e-05
13030-Init7 (Switzerland) Ltd.,6e-05
7636-Milcom Co. Ltd. Internet Service Pro,5e-05
38001-NewMedia Express Pte Ltd,5e-05
21859-Zenlayer Inc,5e-05
17709-Asia Pacific Telecom,5e-05
9002-RETN Limited,4e-05
8100-QuadraNet Inc,4e-05
4230-CLARO S.A.,4e-05
7616-Jasmine Internet Co Ltd.,3e-05
701-MCI Communications Services Inc. d/b,3e-05
7018-AT&T Services Inc.,3e-05
6830-Liberty Global Operations B.V.,3e-05
6421-TATA COMMUNICATIONS (AMERICA) INC,3e-05
60068-Datacamp Limited,3e-05
52320-GlobeNet Cabos Submarinos Colombia S,3e-05
48858-LLC Milecom,3e-05
38888-Milcom Co. Ltd. Internet Service Pro,3e-05
35916-MULTACOM CORPORATION,3e-05
33652-Comcast Cable Communications LLC,3e-05
286-KPN B.V.,3e-05
2687-AT&T Global Network Services LLC,3e-05
24187-KIRZ Service Provider,3e-05
20485-Closed Joint Stock Company TransTele,3e-05
20473-Choopa LLC,3e-05
20207-Gigared S.A.,3e-05
17887-T.C.C. Technology Co. Ltd.,3e-05
15169-Google LLC,3e-05
135307-Golden TMH Telecom Co. Ltd,3e-05
12189-PhoenixNAP LLC,3e-05
8758-Iway AG,2e-05
8447-A1 Telekom Austria AG,2e-05
7474-Optus Vision,2e-05
55808-Triple T Internet/Triple T Broadband,2e-05
45352-IP ServerOne Solutions Sdn Bhd,2e-05
45142-Loxley Wireless Co. Ltd.,2e-05
38235-ANGKOR DATA COMMUNICATION,2e-05
3758-SingNet Business Dept,2e-05
37468-Angola Cables,2e-05
3320-Deutsche Telekom AG,2e-05
3267-State Institute of Information Techn,2e-05
28917-LLC "TRC FIORD",2e-05
1916-Associa̤̣o Rede Nacional de En,2e-05
13237-euNetworks Managed Services GmbH,2e-05
9930-TIME dotCom Berhad,1e-05
9902-NEOCOMISP LIMITED IPTX Transit and N,1e-05
9293-NTT Com Asia Limited,1e-05
8551-Bezeq International-Ltd,1e-05
8455-Schuberg Philis B.V.,1e-05
8359-MTS PJSC,1e-05
8220-COLT Technology Services Group Limit,1e-05
7922-Comcast Cable Communications LLC,1e-05
7671-NTT SmartConnect Corporation,1e-05
7660-Asia Pacific Advanced Network - Japa,1e-05
7642-Dhivehi Raajjeyge Gulhun (Dhiraagu),1e-05
62240-Clouvider Limited,1e-05
61292-Blix Group AS,1e-05
61218-FM GROUP WORLD Artur Trawinski Sp.zo,1e-05
59318-SINET Cambodia's specialist Internet,1e-05
58057-TeleMontazh Ltd.,1e-05
57118-CommunityRack.org Verein,1e-05
55329-Telcotech Ltd.,1e-05
5400-British Telecommunications plc,1e-05
45558-Myanma Posts and Telecommunications,1e-05
45413-ServeNET Solution Limited Partnershi,1e-05
45328-NIPA TECHNOLOGY CO. LTD,1e-05
45259-Bruhaas (B) Sdn Bhd,1e-05
42525-GlobalConnect A/S,1e-05
4134-No.31Jin-rong Street,1e-05
41327-TechInfoTel Ltd.,1e-05
36384-Google LLC,1e-05
3549-Level 3 Communications Inc.,1e-05
31133-PJSC MegaFon,1e-05
30781-Jaguar Network SAS,1e-05
262589-INTERNEXA Brasil Operadora de Teleco,1e-05
262195-Transamerican Telecomunication S.A.,1e-05
2603-NORDUnet,1e-05
23969-TOT Public Company Limited,1e-05
21320-GEANT Limited,1e-05
209-Qwest Communications Company LLC,1e-05
20764-CJSC RASCOM,1e-05
20562-Broadband Hosting B.V,1e-05
202984-Chernyshov Aleksandr Aleksandrovich,1e-05
196621-Matthias Cramer,1e-05
18678-INTERNEXA S.A. E.S.P,1e-05
15570-InterNAP Network Services U.K. Limit,1e-05
15440-UAB "Baltnetos komunikacijos",1e-05
14187-BT LATAM COLOMBIA S.A.,1e-05
135419-unknown,1e-05
12989-StackPath LLC,1e-05
12956-Telefonica International Wholesale S,1e-05
1239-Sprint,1e-05
11164-Internet2,1e-05
10021-KVH Co.Ltd,1e-05
