Transit (row) / Origin (Column) ASN-ASNAME,99999-CL
12200-Rackspace Hosting,4e-05
9924-Taiwan Fixed Network Telco and Netwo,3e-05
6777-Amsterdam Internet Exchange B.V.,3e-05
35280-ACORUS NETWORKS SAS,3e-05
32098-Transtelco Inc,3e-05
27678-NIC Chile,3e-05
263237-POWER HOST E.I.R.L.,3e-05
25091-IP-Max SA,3e-05
1257-TELE2,3e-05
11014-CPS,3e-05
10481-Prima S.A.,3e-05
9680-HiNet IPv6 Service Network.,2e-05
8758-Iway AG,2e-05
8732-OJSC Comcor,2e-05
8455-Schuberg Philis B.V.,2e-05
7545-TPG Telecom Limited,2e-05
6730-Sunrise Communications AG,2e-05
59689-Keyade SAS,2e-05
5400-British Telecommunications plc,2e-05
45474-Suite 2101~02 21/F Tower 2 Nina Towe,2e-05
42-WoodyNet,2e-05
3216-PJSC "Vimpelcom",2e-05
29119-ServiHosting Networks S.L.,2e-05
22927-Telefonica de Argentina,2e-05
209-Qwest Communications Company LLC,2e-05
198385-AlpineDC SA,2e-05
19747-Datavail,2e-05
19429-ETB - Colombia,2e-05
18734-Operbes S.A. de C.V.,2e-05
1853-ACONET,2e-05
1680-013 NetVision Ltd,2e-05
16735-ALGAR TELECOM S/A,2e-05
15440-UAB "Baltnetos komunikacijos",2e-05
15412-Reliance Globalcom Limited,2e-05
12400-Partner Communications Ltd.,2e-05
1239-Sprint,2e-05
12189-PhoenixNAP LLC,2e-05
12180-Internap Network Services Corporatio,2e-05
9116-012 Smile Communications LTD.,1e-05
9044-BSE Software GmbH,1e-05
8926-Moldtelecom SA,1e-05
8218-Zayo France SAS,1e-05
7922-Comcast Cable Communications LLC,1e-05
7162-Universo Online S.A.,1e-05
61218-FM GROUP WORLD Artur Trawinski Sp.zo,1e-05
58073-YISP B.V.,1e-05
58057-TeleMontazh Ltd.,1e-05
5580-Hibernia Networks (Netherlands) BV,1e-05
51531-DE-CIX Management GmbH,1e-05
46786-IP Transit Inc.,1e-05
4657-Singapore Government Network AS,1e-05
4637-Telstra Global - Customer AS Number,1e-05
395378-Cascade Divide Colo Inc.,1e-05
31133-PJSC MegaFon,1e-05
30781-Jaguar Network SAS,1e-05
29838-Atlantic Metro Communications LLC,1e-05
2828-MCI Communications Services Inc. d/b,1e-05
28005-Digicel (Panama) S.A,1e-05
27008-BendTel,1e-05
26615-Tim Celular S.A.,1e-05
263682-CHILENETWORKS SPA,1e-05
262195-Transamerican Telecomunication S.A.,1e-05
25192-CZ.NIC z.s.p.o.,1e-05
22860-SERVICIOS INTERNET LTDA,1e-05
22548-N̼cleo de Inf. e Coord. do Ponto ,1e-05
20080-Florida International University,1e-05
18479-Universo Online S.A.,1e-05
17408-AboveNet Communications Taiwan,1e-05
16713-Northwest Open Access Network,1e-05
15836-Arax-Impex s.r.l.,1e-05
1280-Internet Systems Consortium Inc.,1e-05
12182-Internap Network Services Corporatio,1e-05
11432-Telium Telecomunica̵̤es Ltda,1e-05
