Transit (row) / Origin (Column) ASN-ASNAME,99999-OM
8529-Oman Telecommunications Company (S.A,0.51309
3356-Level 3 Communications Inc.,0.14743
6939-Hurricane Electric Inc.,0.12771
2914-NTT America Inc.,0.09902
174-Cogent Communications,0.03297
1299-Telia Company AB,0.0245
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00904
33891-Core-Backbone GmbH,0.00453
28885-Oman Telecommunications Company (S.A,0.0037
4637-Telstra Global - Customer AS Number,0.00308
5511-Orange S.A.,0.00265
35280-ACORUS NETWORKS SAS,0.00228
5583-Orange S.A.,0.00198
59689-Keyade SAS,0.00189
25091-IP-Max SA,0.00187
1221-Telstra Managed Network Services,0.00133
29075-Lost Oasis SARL,0.00121
31424-nexellent ag,0.0012
50010-Omani Qatari Telecommunications Comp,0.00064
206610-Pindo S.a.,0.00045
12552-IP-Only Networks AB,0.00037
25122-GULFSATCOMMUNICATIONS COMPANY K.S.C.,0.00025
12713-OTEGlobe - OTE Global Solutions SA,0.00015
204170-Awaser Oman LLC,0.00013
201684-Oman Data Park LLC,0.00013
6461-Zayo Bandwidth,0.00012
3257-GTT Communications Inc.,0.00011
4755-Tata Communications,0.0001
99999-OM,0.0
8966-Emirates Telecommunications Corporat,0.0
8781-Ooredoo Q.S.C.,0.0
8468-ENTANET International Limited,0.0
8218-Zayo France SAS,0.0
7660-Asia Pacific Advanced Network - Japa,0.0
7545-TPG Telecom Limited,0.0
5713-Telkom SA Ltd.,0.0
51375-VIVA Bahrain BSC Closed,0.0
39386-Saudi Telecom Company JSC,0.0
3491-PCCW Global Inc.,0.0
3320-Deutsche Telekom AG,0.0
29357-National Mobile Telecommunications C,0.0
29208-Dial Telecom a.s.,0.0
28917-LLC "TRC FIORD",0.0
2852-CESNET z.s.p.o.,0.0
2603-NORDUnet,0.0
22388-Indiana University,0.0
20485-Closed Joint Stock Company TransTele,0.0
202984-Chernyshov Aleksandr Aleksandrovich,0.0
198385-AlpineDC SA,0.0
16265-LeaseWeb Network B.V.,0.0
15576-NTS workspace AG,0.0
136620-VMHaus Limited,0.0
11164-Internet2,0.0
15570-InterNAP Network Services U.K. Limit,8e-05
6762-TELECOM ITALIA SPARKLE S.p.A.,7e-05
9002-RETN Limited,6e-05
58057-TeleMontazh Ltd.,6e-05
3225-Gulfnet Kuwait,6e-05
21050-Fast Telecommunications Company W.L.,6e-05
61218-FM GROUP WORLD Artur Trawinski Sp.zo,5e-05
43852-Kuwait Data Center Co.,4e-05
2497-Internet Initiative Japan Inc.,4e-05
12956-Telefonica International Wholesale S,4e-05
55410-C48 Okhla Industrial Estate New Delh,3e-05
37468-Angola Cables,3e-05
200612-Gulf Bridge International Inc.,3e-05
8447-A1 Telekom Austria AG,2e-05
52320-GlobeNet Cabos Submarinos Colombia S,2e-05
4230-CLARO S.A.,2e-05
3303-Swisscom (Switzerland) Ltd,2e-05
30781-Jaguar Network SAS,2e-05
2516-KDDI CORPORATION,2e-05
24961-myLoc managed IT AG,2e-05
206350-The Research Council/Oman Research a,2e-05
8732-OJSC Comcor,1e-05
7473-Singapore Telecommunications Ltd,1e-05
701-MCI Communications Services Inc. d/b,1e-05
6830-Liberty Global Operations B.V.,1e-05
6661-POST Luxembourg,1e-05
4837-CNCGROUP old Jitong IP network,1e-05
42708-Portlane AB,1e-05
36086-Telx,1e-05
3267-State Institute of Information Techn,1e-05
286-KPN B.V.,1e-05
21320-GEANT Limited,1e-05
20764-CJSC RASCOM,1e-05
1916-Associa̤̣o Rede Nacional de En,1e-05
1836-green.ch AG,1e-05
15412-Reliance Globalcom Limited,1e-05
13030-Init7 (Switzerland) Ltd.,1e-05
1273-Vodafone Group PLC,1e-05
12389-PJSC Rostelecom,1e-05
11537-Internet2,1e-05
