Transit (row) / Origin (Column) ASN-ASNAME,99999-AL
6762-TELECOM ITALIA SPARKLE S.p.A.,0.22819
42313-Albtelecom Sh.a.,0.17011
174-Cogent Communications,0.13984
6663-Euroweb Romania S.A.,0.12244
5603-Telekom Slovenije d.d.,0.09255
12713-OTEGlobe - OTE Global Solutions SA,0.07666
198279-Albanian Telecommunications Union SH,0.06073
21183-ABCOM Shpk,0.04511
3356-Level 3 Communications Inc.,0.03358
3257-GTT Communications Inc.,0.03041
34772-NEOTEL DOO export-import Skopje,0.02253
47394-"Albanian Satellite Communications" ,0.01778
29170-Kujtesa Net Sh.p.k.,0.01717
1273-Vodafone Group PLC,0.01628
8585-Crnogorski Telekom a.d.Podgorica,0.01377
50973-Vodafone Albania Sh.A.,0.012
5511-Orange S.A.,0.01034
8400-TELEKOM SRBIJA a.d.,0.01012
5391-Hrvatski Telekom d.d.,0.00924
3223-Voxility S.R.L.,0.00673
206262-TelKos L.L.C,0.00643
1299-Telia Company AB,0.00634
35047-Abissnet sh.a.,0.00625
10282-GLOBAL ONE,0.0062
43940-Drustvo za telekomunikacije "MTEL" D,0.00485
21246-IPKO Telecommunications LLC,0.00478
202441-unknown,0.00448
2914-NTT America Inc.,0.00351
47872-Sofia Connect EAD,0.0031
33983-ARTMOTION SH.P.K.,0.00306
206610-Pindo S.a.,0.00263
21320-GEANT Limited,0.00257
3320-Deutsche Telekom AG,0.00243
56468-MC NETWORKING Sh.p.k.,0.00173
6461-Zayo Bandwidth,0.00125
6939-Hurricane Electric Inc.,0.00051
31133-PJSC MegaFon,0.00039
57070-ITCOM Shpk,0.00038
28716-Reti Telematiche Italiane S.p.A. (Re,0.00038
57722-N.SH.T "ATI-KOS" sh.p.k,0.00034
20965-GEANT Limited,0.00034
2603-NORDUnet,0.00033
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00029
15570-InterNAP Network Services U.K. Limit,0.00025
3491-PCCW Global Inc.,0.00022
58057-TeleMontazh Ltd.,0.0002
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00016
39611-VIVO Communications Sh p k,0.00014
99999-AL,0.0
8262-Evolink AD,0.0
59689-Keyade SAS,0.0
5713-Telkom SA Ltd.,0.0
48452-"Traffic Broadband Communications" L,0.0
33891-Core-Backbone GmbH,0.0
2852-CESNET z.s.p.o.,0.0
198385-AlpineDC SA,0.0
15576-NTS workspace AG,0.0
12874-Fastweb SpA,0.0
1103-SURFnet bv,0.0
9002-RETN Limited,9e-05
36086-Telx,8e-05
12956-Telefonica International Wholesale S,8e-05
52320-GlobeNet Cabos Submarinos Colombia S,7e-05
4230-CLARO S.A.,7e-05
24961-myLoc managed IT AG,7e-05
2516-KDDI CORPORATION,6e-05
20764-CJSC RASCOM,6e-05
29075-Lost Oasis SARL,5e-05
11537-Internet2,5e-05
6661-POST Luxembourg,4e-05
25091-IP-Max SA,4e-05
2497-Internet Initiative Japan Inc.,4e-05
1916-Associa̤̣o Rede Nacional de En,4e-05
1836-green.ch AG,4e-05
13030-Init7 (Switzerland) Ltd.,4e-05
8447-A1 Telekom Austria AG,3e-05
8732-OJSC Comcor,2e-05
6830-Liberty Global Operations B.V.,2e-05
3303-Swisscom (Switzerland) Ltd,2e-05
3267-State Institute of Information Techn,2e-05
28917-LLC "TRC FIORD",2e-05
202984-Chernyshov Aleksandr Aleksandrovich,2e-05
8468-ENTANET International Limited,1e-05
8220-COLT Technology Services Group Limit,1e-05
8218-Zayo France SAS,1e-05
7660-Asia Pacific Advanced Network - Japa,1e-05
6777-Amsterdam Internet Exchange B.V.,1e-05
38930-LeaseWeb Network B.V.,1e-05
37468-Angola Cables,1e-05
30781-Jaguar Network SAS,1e-05
286-KPN B.V.,1e-05
22388-Indiana University,1e-05
200780-APPLIWAVE SAS,1e-05
1764-Next Layer Telekommunikationsdienstl,1e-05
16265-LeaseWeb Network B.V.,1e-05
15412-Reliance Globalcom Limited,1e-05
136620-VMHaus Limited,1e-05
