Transit (row) / Origin (Column) ASN-ASNAME,99999-LY
37558-LIBYAN INTERNATIONAL TELECOMMUNICATI,0.95908
6762-TELECOM ITALIA SPARKLE S.p.A.,0.41363
12713-OTEGlobe - OTE Global Solutions SA,0.04702
21003-LTT Autonomous System Tripoli Libya,0.01065
3356-Level 3 Communications Inc.,0.01008
174-Cogent Communications,0.0094
5511-Orange S.A.,0.0079
1299-Telia Company AB,0.00466
206610-Pindo S.a.,0.00296
37284-Aljeel Aljadeed For Technology,0.00211
1273-Vodafone Group PLC,0.00178
3257-GTT Communications Inc.,0.00172
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00122
24785-Broadband Hosting B.V,0.00089
6939-Hurricane Electric Inc.,0.00088
6461-Zayo Bandwidth,0.00077
3320-Deutsche Telekom AG,0.00047
2914-NTT America Inc.,0.00047
15570-InterNAP Network Services U.K. Limit,0.00027
58057-TeleMontazh Ltd.,0.00022
286-KPN B.V.,0.00022
20562-Broadband Hosting B.V,0.00019
9002-RETN Limited,0.00018
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00017
6661-POST Luxembourg,0.00013
52320-GlobeNet Cabos Submarinos Colombia S,0.00012
29075-Lost Oasis SARL,0.00012
20764-CJSC RASCOM,0.00012
12956-Telefonica International Wholesale S,0.00011
4230-CLARO S.A.,0.0001
25091-IP-Max SA,0.0001
99999-LY,0.0
36086-Telx,9e-05
3303-Swisscom (Switzerland) Ltd,9e-05
2516-KDDI CORPORATION,9e-05
8447-A1 Telekom Austria AG,8e-05
24961-myLoc managed IT AG,8e-05
15412-Reliance Globalcom Limited,8e-05
8732-OJSC Comcor,7e-05
28917-LLC "TRC FIORD",6e-05
202984-Chernyshov Aleksandr Aleksandrovich,6e-05
16265-LeaseWeb Network B.V.,6e-05
8468-ENTANET International Limited,5e-05
7545-TPG Telecom Limited,5e-05
7473-Singapore Telecommunications Ltd,5e-05
6830-Liberty Global Operations B.V.,5e-05
3491-PCCW Global Inc.,5e-05
2497-Internet Initiative Japan Inc.,5e-05
47973-Digital Realty Netherlands B.V.,4e-05
41095-IPTP LTD,4e-05
37468-Angola Cables,4e-05
20485-Closed Joint Stock Company TransTele,4e-05
1836-green.ch AG,4e-05
41327-TechInfoTel Ltd.,3e-05
30781-Jaguar Network SAS,3e-05
8218-Zayo France SAS,2e-05
59689-Keyade SAS,2e-05
3549-Level 3 Communications Inc.,2e-05
3267-State Institute of Information Techn,2e-05
21320-GEANT Limited,2e-05
1916-Associa̤̣o Rede Nacional de En,2e-05
13030-Init7 (Switzerland) Ltd.,2e-05
33891-Core-Backbone GmbH,1e-05
31424-nexellent ag,1e-05
29208-Dial Telecom a.s.,1e-05
2852-CESNET z.s.p.o.,1e-05
198385-AlpineDC SA,1e-05
12859-BIT BV,1e-05
